year,cny,deepavali,raya1,raya2,raya3,raya4,raya5
1957,1957-02-08,1957-10-26,1957-05-01,,,,
1958,1958-01-28,1958-11-13,1958-04-20,,,,
1959,1959-02-17,1959-11-02,1959-04-10,,,,
1960,1960-02-08,1960-10-21,1960-03-28,,,,
1961,1961-01-28,1961-11-09,1961-03-18,,,,
1962,1962-02-15,1962-10-29,1962-03-07,,,,
1963,1963-02-05,1963-10-18,1963-02-24,,,,
1964,1964-01-25,1964-11-05,1964-02-14,,,,
1965,1965-02-13,1965-10-25,1965-02-02,,,,
1966,1966-02-02,1966-11-13,1966-01-22,,,,
1967,1967-01-21,1967-11-01,1967-01-12,,,,
1968,1968-02-09,1968-10-20,1968-01-01,1968-12-21,,,
1969,1969-01-30,1969-11-08,,1969-12-10,,,
1970,1970-02-17,1970-10-28,,1970-11-30,,,
1971,1971-02-06,1971-10-17,,1971-11-19,,,
1972,1972-01-27,1972-11-05,,1972-11-07,,,
1973,1973-02-15,1973-10-25,,1973-10-27,,,
1974,1974-02-03,1974-11-13,,1974-10-16,,,
1975,1975-01-23,1975-11-02,,1975-10-06,,,
1976,1976-02-11,1976-10-21,,1976-09-24,,,
1977,1977-01-31,1977-11-09,,1977-09-14,,,
1978,1978-02-18,1978-10-29,,1978-09-03,,,
1979,1979-02-07,1979-10-18,,1979-08-23,,,
1980,1980-01-28,1980-11-06,,1980-08-12,,,
1981,1981-02-16,1981-10-26,,1981-08-01,,,
1982,1982-02-05,1982-11-14,,1982-07-21,,,
1983,1983-02-13,1983-11-03,,1983-07-11,,,
1984,1984-02-02,1984-10-23,,1984-06-30,,,
1985,1985-02-20,1985-11-11,,1985-06-19,,,
1986,1986-02-09,1986-11-01,,1986-06-08,,,
1987,1987-01-29,1987-10-21,,1987-05-28,,,
1988,1988-02-17,1988-11-08,,1988-05-16,,,
1989,1989-02-06,1989-10-29,,1989-05-06,,,
1990,1990-01-27,1990-10-19,,1990-04-26,,,
1991,1991-02-15,1991-11-06,,1991-04-15,,,
1992,1992-02-04,1992-10-25,,1992-04-04,,,
1993,1993-01-23,1993-11-12,,1993-03-24,,,
1994,1994-02-10,1994-10-24,,1994-03-13,,,
1995,1995-01-31,1995-11-11,,1995-03-02,,,
1996,1996-02-19,1996-11-01,,1996-02-19,,,
1997,1997-02-07,1997-10-30,,1997-02-08,,,
1998,1998-01-28,1998-11-16,,1998-01-29,,,
1999,1999-02-16,1999-11-04,,1999-01-18,,,
2000,2000-02-05,2000-10-25,,2000-01-08,2000-12-27,,
2001,2001-01-24,2001-11-14,,,2001-12-16,,
2002,2002-02-12,2002-11-03,,,2002-12-05,,
2003,2003-02-01,2003-10-23,,,2003-11-25,,
2004,2004-01-22,2004-11-11,,,2004-11-14,,
2005,2005-02-09,2005-11-01,,,2005-11-03,,
2006,2006-01-29,2006-10-21,,,2006-10-23,,
2007,2007-02-18,2007-11-08,,,2007-10-13,,
2008,2008-02-07,2008-10-28,,,2008-10-01,,
2009,2009-01-26,2009-10-17,,,2009-09-20,,
2010,2010-02-14,2010-11-05,,,2010-09-10,,
2011,2011-02-03,2011-10-26,,,2011-08-30,,
2012,2012-01-23,2012-11-13,,,2012-08-19,,
2013,2013-02-10,2013-11-02,,,2013-08-08,,
2014,2014-01-31,2014-10-22,,,2014-07-28,,
2015,2015-02-19,2015-11-10,,,2015-07-17,,
2016,2016-02-08,2016-10-29,,,2016-07-06,,
2017,2017-01-28,2017-10-18,,,2017-06-25,,
2018,2018-02-16,2018-11-06,,,2018-06-15,,
2019,2019-02-05,2019-10-27,,,2019-06-04,,
2020,2020-01-25,2020-11-14,,,2020-05-24,,
2021,2021-02-12,2021-11-04,,,2021-05-13,,
2022,2022-02-01,2022-10-24,,,2022-05-02,,
2023,2023-01-22,2023-11-12,,,2023-04-21,,
2024,2024-02-10,2024-11-01,,,2024-04-10,,
2025,2025-01-29,2025-10-20,,,2025-03-30,,
2026,2026-02-17,2026-11-08,,,2026-03-20,,
2027,2027-02-06,2027-10-28,,,2027-03-09,,
2028,2028-01-26,2028-11-15,,,2028-02-26,,
2029,2029-02-13,2029-11-05,,,2029-02-14,,
2030,2030-02-03,2030-10-25,,,2030-02-04,,
2031,2031-01-23,2031-11-03,,,2031-01-24,,
2032,2032-02-11,2032-10-22,,,2032-01-14,,
2033,2033-01-31,2033-11-10,,,2033-01-02,2033-12-23,
2034,2034-02-19,2034-10-30,,,,2034-12-12,
2035,2035-02-08,2035-10-19,,,,2035-12-01,
2036,2036-01-28,2036-11-06,,,,2036-11-19,
2037,2037-02-15,2037-10-26,,,,2037-11-08,
2038,2038-02-04,2038-11-14,,,,2038-10-29,
2039,2039-01-24,2039-11-04,,,,2039-10-19,
2040,2040-02-12,2040-10-23,,,,2040-10-07,
2041,2041-02-01,2041-11-11,,,,2041-09-26,
2042,2042-01-22,2042-10-31,,,,2042-09-15,
2043,2043-02-10,2043-10-20,,,,2043-09-04,
2044,2044-01-30,2044-11-08,,,,2044-08-24,
2045,2045-02-17,2045-10-28,,,,2045-08-14,
2046,2046-02-06,2046-11-16,,,,2046-08-03,
2047,2047-01-26,2047-11-05,,,,2047-07-24,
2048,2048-02-14,2048-10-24,,,,2048-07-12,
2049,2049-02-02,2049-11-12,,,,2049-07-01,
2050,2050-01-23,2050-11-01,,,,2050-06-20,
2051,2051-02-11,2051-10-21,,,,2051-06-10,
2052,2052-01-31,2052-11-08,,,,2052-05-29,
2053,2053-02-19,2053-10-29,,,,2053-05-19,
2054,2054-02-09,2054-10-18,,,,2054-05-09,
2055,2055-01-29,2055-11-06,,,,2055-04-28,
2056,2056-02-16,2056-10-26,,,,2056-04-16,
2057,2057-02-05,2057-11-14,,,,2057-04-05,
2058,2058-01-25,2058-11-03,,,,2058-03-25,
2059,2059-02-13,2059-10-23,,,,2059-03-15,
2060,2060-02-03,2060-11-11,,,,2060-03-04,
2061,2061-01-23,2061-11-01,,,,2061-02-21,
2062,2062-02-11,2062-10-21,,,,2062-02-10,
2063,2063-01-31,2063-11-09,,,,2063-01-30,
2064,2064-02-19,2064-10-28,,,,2064-01-20,
2065,2065-02-08,2065-10-17,,,,2065-01-08,2065-12-28
2066,2066-01-28,2066-11-05,,,,,2066-12-18
2067,2067-02-15,2067-10-25,,,,,2067-12-08
2068,2068-02-05,2068-11-13,,,,,2068-11-26
2069,2069-01-25,2069-11-02,,,,,2069-11-15
2070,2070-02-14,2070-10-23,,,,,2070-11-04
2071,2071-02-02,2071-11-10,,,,,2071-10-24
2072,2072-01-22,2072-10-29,,,,,2072-10-13
2073,2073-02-10,2073-10-18,,,,,2073-10-02
2074,2074-01-30,2074-11-06,,,,,2074-09-22
2075,2075-02-17,2075-10-27,,,,,2075-09-11
2076,2076-02-06,2076-11-15,,,,,2076-08-30
2077,2077-01-26,2077-11-04,,,,,2077-08-20